tweet_id,created_at,text
1060328300462116865,2018-11-08 00:29:01,"RT @MikeEmanuelFox: Democrats gear up for 2020 presidential race - from #SpecialReport tonight: 

https://t.co/2rYNfdShiO"
1060326213422641152,2018-11-08 00:20:43,".@Jim_Jordan on his run for House GOP leader: “We have to match [@POTUS’s] intensity, that’s what I want to do. If I’m given the opportunity to lead our conference, I’ll do that.” #TheStory https://t.co/Ybecji7P4y https://t.co/pqiqyRwF7J"
1060324699702468609,2018-11-08 00:14:42,".@Jim_Jordan on Jeff Sessions' resignation: ""I think it was appropriate, the action that was taken today by [@POTUS.]"" #TheStory https://t.co/SfA26v0ock https://t.co/53KxpYY0WY"
1060323507752628224,2018-11-08 00:09:58,Attorney General Jeff Sessions resigns in the wake of midterm elections. @edhenry reports. #TheStory https://t.co/SfA26v0ock https://t.co/kimTfr31TL
1060321069347807233,2018-11-08 00:00:17,".@MaraLiasson on #MIDTERMS2018: ""Overall I think that Democrats had a great night. They had to win the House back and they did. Anything else would have been an abysmal failure."" #SpecialReport https://t.co/yE3M42mDpN https://t.co/hNyKn44YdI"
1060319502641053697,2018-11-07 23:54:03,".@marcthiessen on Sessions resigning at @POTUS' request: ""The president is learning from his mistakes. If he had done this with James Comey after the 2016 election, there would be no Mueller probe today."" #SpecialReport https://t.co/5iWsDcmrYO https://t.co/bmciQAMxva"
1060317390834188288,2018-11-07 23:45:40,Staff Sgt. Kyle Snodgrass meets his son Griffin for the first time at MacDill Air Force Base in Florida on Tuesday. Snodgrass was deployed when his son was born. #ProudAmerican https://t.co/4bITW1xfAY
1060315093546790912,2018-11-07 23:36:32,California man charged with attempted kidnapping after hopping on bus full of schoolchildren https://t.co/ig6HOzFt3s
1060311183012450304,2018-11-07 23:21:00,Jeff Sessions' departure leads to questions about Russia probe's future https://t.co/qDuCuO5fLX
1060309873236295685,2018-11-07 23:15:48,".@TGowdySC on the Muller probe: ""I don't think anything is going to happen to Rod [Rosenstein] until after Mueller finishes his investigation. And then what happens after that will be between @POTUS and Rod."" #SpecialReport https://t.co/5iWsDcmrYO https://t.co/C50ePxGMI2"
1060308806196977665,2018-11-07 23:11:33,".@TGowdySC on Jeff Sessions resigning: ""It was going to happen...He's been a proverbial dead man walking for several months now."" #SpecialReport https://t.co/SfA26v0ock https://t.co/mszTX8VAr7"
1060306255636520961,2018-11-07 23:01:25,"Suspect in Trump Walk of Fame vandalism pleaded no contest, officials say https://t.co/UtqbFj28ev"
1060304689244368904,2018-11-07 22:55:12,'The Justice Department Needs Stability': Starr Says He's 'Concerned' Following Sessions Resignation https://t.co/Ks0YmUjs0L
